run_name,feature,generated_mean,real_mean,standardized_mean_difference
transformer_mood_100e,tempo_bpm,97.0973804788397,93.36419095422997,0.13907356515422759
transformer_mood_100e,note_density,2.2384652302826615,1.4294920481463222,0.4335349129950258
transformer_mood_100e,mean_velocity,80.95383091742995,75.26841462605087,0.21018912039934673
transformer_mood_100e,velocity_std,1.5706545104168572,3.4435452730087412,-0.5651125717987205
transformer_mood_100e,mean_pitch,75.63165933515425,66.00152299011384,0.8061436176236207
transformer_mood_100e,pitch_std,6.3659169663507384,3.695477595287387,1.6724609887166717
transformer_mood_100e,pitch_range,22.016666666666666,11.712962962962964,1.813408244691636
transformer_mood_100e,mean_note_duration,1.028649593520387,1.5262929203057687,-0.7413398607801991
transformer_mood_100e,mean_absolute_interval,11.156656774435302,4.815594279649877,2.0940801455072924
transformer_mood_100e,polyphony_rate,0.8836565849178154,0.2677184737193466,1.6884695185966345
transformer_mood_100e,pitch_class_entropy,2.404020792308447,2.046749063755713,0.5862588350516909
transformer_no_mood_100e,tempo_bpm,99.80804684073992,93.36419095422997,0.2761200178104252
transformer_no_mood_100e,note_density,2.2119953900083424,1.4294920481463222,0.5641963291990694
transformer_no_mood_100e,mean_velocity,82.13279736938283,75.26841462605087,0.2419885839964997
transformer_no_mood_100e,velocity_std,1.946563330643428,3.4435452730087412,-0.4307090412965296
transformer_no_mood_100e,mean_pitch,70.67252879404828,66.00152299011384,0.3942739333458522
transformer_no_mood_100e,pitch_std,6.503176227127445,3.695477595287387,1.7726778839688688
transformer_no_mood_100e,pitch_range,22.5,11.712962962962964,2.0580855073479483
transformer_no_mood_100e,mean_note_duration,0.8755054417979511,1.5262929203057687,-1.0004021160142824
transformer_no_mood_100e,mean_absolute_interval,11.170026945157227,4.815594279649877,2.1416833288856365
transformer_no_mood_100e,polyphony_rate,0.9011994746747736,0.2677184737193466,1.7864243011230552
transformer_no_mood_100e,pitch_class_entropy,2.493436256075562,2.046749063755713,0.7579241537196545
