run_name,evaluation_label,tempo_bpm,mean_velocity,note_density,mean_pitch,pitch_range,mean_note_duration
transformer_mood_100e,calm,69.61502237175986,58.13046594982079,1.5400763134234468,75.50686407081568,20.8,1.1712167569563916
transformer_mood_100e,danger,144.51415376505568,111.75555555555556,1.3791775952828682,75.35039238539238,20.5,1.3128473733022534
transformer_mood_100e,joy,90.51503886570472,88.55428571428573,2.057056097167049,75.48809913673071,20.7,0.9560844332212476
transformer_mood_100e,mystery,89.93800865066419,93.42167545300032,4.09980889223486,76.50862063568687,24.0,0.7778411496420511
transformer_mood_100e,sadness,66.71201834510987,58.06100283191737,1.8735210522016168,73.6657602860209,23.4,1.0905716644686876
transformer_mood_100e,tension,121.29004087474377,75.8,2.481151431386128,77.27021949627895,22.7,0.8633361835316903
transformer_no_mood_100e,calm,99.80804684073989,82.13279736938283,2.211995390008343,70.67252879404828,22.5,0.875505441797951
transformer_no_mood_100e,danger,99.80804684073989,82.13279736938283,2.211995390008343,70.67252879404828,22.5,0.875505441797951
transformer_no_mood_100e,joy,99.80804684073989,82.13279736938283,2.211995390008343,70.67252879404828,22.5,0.875505441797951
transformer_no_mood_100e,mystery,99.80804684073989,82.13279736938283,2.211995390008343,70.67252879404828,22.5,0.875505441797951
transformer_no_mood_100e,sadness,99.80804684073989,82.13279736938283,2.211995390008343,70.67252879404828,22.5,0.875505441797951
transformer_no_mood_100e,tension,99.80804684073989,82.13279736938283,2.211995390008343,70.67252879404828,22.5,0.875505441797951
transformer_mood_emphasis_ft20,calm,69.03402138377825,57.73268879268879,1.4492708130771486,73.47936053077358,19.6,1.2392799782446358
transformer_mood_emphasis_ft20,danger,144.51415376505568,110.78070175438597,1.709612571758185,74.21604579630896,21.5,1.0752366695745044
transformer_mood_emphasis_ft20,joy,90.51503886570472,77.37894736842105,2.001653954610218,74.72045793246556,21.5,0.9843641228235238
transformer_mood_emphasis_ft20,mystery,89.93800865066419,88.01860115518011,3.6493047856731393,76.26577917696338,23.3,0.8874456424015165
transformer_mood_emphasis_ft20,sadness,66.71201834510987,58.73258610954262,1.5123677214593294,73.33873938380461,22.4,1.1828307056047938
transformer_mood_emphasis_ft20,tension,121.29004087474377,75.86153846153846,1.6174345668295582,78.24502035417284,15.9,1.0599165573374139
